Date,Team_A,Score_A,Score_B,Team_B,Winner
21-05-2023,Napoli,3,1,Inter,Napoli
28-05-2023,Bologna,2,2,Napoli,Draw
04-06-2023,Napoli,2,0,Sampdoria,Napoli
14-08-2022,Salernitana,0,1,Roma,Roma
22-08-2022,Roma,1,0,Cremonese,Roma
27-08-2022,Juventus,1,1,Roma,Draw
30-08-2022,Roma,3,0,Monza,Roma
04-09-2022,Udinese,4,0,Roma,Udinese
12-09-2022,Empoli,1,2,Roma,Roma
18-09-2022,Roma,0,1,Atalanta,Atalanta
01-10-2022,Inter,1,2,Roma,Roma
09-10-2022,Roma,2,1,Lecce,Roma
17-10-2022,Sampdoria,0,1,Roma,Roma
23-10-2022,Roma,0,1,Napoli,Napoli
31-10-2022,Verona,1,3,Roma,Roma
06-11-2022,Roma,0,1,Lazio,Lazio
09-11-2022,Sassuolo,1,1,Roma,Draw
13-11-2022,Roma,1,1,Torino,Draw
04-01-2023,Roma,1,0,Bologna,Roma
08-01-2023,Milan,2,2,Roma,Draw
15-01-2023,Roma,2,0,Fiorentina,Roma
22-01-2023,Spezia,0,2,Roma,Roma
29-01-2023,Napoli,2,1,Roma,Napoli
04-02-2023,Roma,2,0,Empoli,Roma
11-02-2023,Lecce,1,1,Roma,Draw
19-02-2023,Roma,1,0,Verona,Roma
28-02-2023,Cremonese,2,1,Roma,Cremonese
05-03-2023,Roma,1,0,Juventus,Roma
12-03-2023,Roma,3,4,Sassuolo,Sassuolo
19-03-2023,Lazio,1,0,Roma,Lazio
02-04-2023,Roma,3,0,Sampdoria,Roma
08-04-2023,Torino,0,1,Roma,Roma
16-04-2023,Roma,3,0,Udinese,Roma
24-04-2023,Atalanta,3,1,Roma,Atalanta
29-04-2023,Roma,1,1,Milan,Draw
03-05-2023,Monza,1,1,Roma,Draw
06-05-2023,Roma,0,2,Inter,Inter
14-05-2023,Bologna,0,0,Roma,Draw
22-05-2023,Roma,2,2,Salernitana,Draw
27-05-2023,Fiorentina,2,1,Roma,Fiorentina
04-06-2023,Roma,2,1,Spezia,Roma
14-08-2022,Salernitana,0,1,Roma,Roma
20-08-2022,Udinese,0,0,Salernitana,Draw
28-08-2022,Salernitana,4,0,Sampdoria,Salernitana
01-09-2022,Bologna,1,1,Salernitana,Draw
05-09-2022,Salernitana,2,2,Empoli,Draw
11-09-2022,Juventus,2,2,Salernitana,Draw
16-09-2022,Salernitana,1,2,Lecce,Lecce
02-10-2022,Sassuolo,5,0,Salernitana,Sassuolo
09-10-2022,Salernitana,2,1,Verona,Salernitana
16-10-2022,Inter,2,0,Salernitana,Inter
22-10-2022,Salernitana,1,0,Spezia,Salernitana
30-10-2022,Lazio,1,3,Salernitana,Salernitana
05-11-2022,Salernitana,2,2,Cremonese,Draw
09-11-2022,Fiorentina,2,1,Salernitana,Fiorentina
13-11-2022,Monza,3,0,Salernitana,Monza
04-01-2023,Salernitana,1,2,Milan,Milan
08-01-2023,Salernitana,1,1,Torino,Draw
15-01-2023,Atalanta,8,2,Salernitana,Atalanta
21-01-2023,Salernitana,0,2,Napoli,Napoli
27-01-2023,Lecce,1,2,Salernitana,Salernitana
07-02-2023,Salernitana,0,3,Juventus,Juventus
13-02-2023,Verona,1,0,Salernitana,Verona
19-02-2023,Salernitana,0,2,Lazio,Lazio
26-02-2023,Salernitana,3,0,Monza,Salernitana
05-03-2023,Sampdoria,0,0,Salernitana,Draw
